ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,โรงพยาบาลเฉพาะทาง,จำนวนแพทย์,ค่าบริการทางการแพทย์,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 5,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 12,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 15,กลุ่มที่ 16,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 19,กลุ่มที่ 20,กลุ่มที่ 21
เกษมราษฎร์บางแค : BCH,0,1,1,311,5600,5,0,157,150,452,4670.6,33744.333333333336,733.3333333333334,2039.2285714285715,0,0.0,3298.4736842105262,1531.1333333333334,2192.625,2450.4,7669.241379310345,51960.0,1827.8085106382978,21277.846153846152,0.0,0.0,0.0,4941.405405405405,2624.0,2867.404255319149,45824.0
เกษมราษฎร์ประชาชื่น : BCH,0,1,1,362,4800,7,0,286,150,542,15052.041666666666,2150.0,0.0,1484.0821917808219,0,0.0,2764.896551724138,2067.75,7529.7625,3176.417910447761,14905.851851851852,6955.5,1224.5555555555557,11948.625,0.0,0.0,0.0,5429.321428571428,33686.90909090909,8419.42857142857,79630.0
เกษมราษฎร์รามคำแหง : BCH,0,1,1,139,3800,8,0,101,150,180,6489.0,0.0,0.0,972.7272727272727,0,20400.0,1397,1040.0,916.0,857.3529411764706,16269.857142857143,80468.5,1478.1666666666667,936.6666666666666,0.0,0.0,0.0,4239.045454545455,4000.0,4759.0,17500.0
เจริญกรุงประชารักษ์,0,0,0,424,2000,9,0,117,100,4,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,644.0,9805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
เจ้าพระยา,0,0,1,200,5750,1,0,350,80,430,15438.541666666666,764.0,0.0,3286.5384615384614,0,1083.3333333333333,1637.388888888889,1366.2,23766.125,2212.4310344827586,15114.328125,39296.0,1725.9310344827586,19596.896551724138,0.0,0.0,0.0,5170.419354838709,20622.0,9392.38028169014,0.0
เซนต์หลุยส์,1,0,1,387,4500,9,0,188,200,634,3459.516129032258,43473.0,0.0,1627.050847457627,0,1837.142857142857,1601.6774193548388,2736.6666666666665,19495.706896551725,1548.2686567164178,2908.5333333333333,39940.0,1821.6328125,2127.8,0.0,0.0,0.0,1534.7555555555555,6143.0,2026.2941176470588,11365.0
เทพธารินทร์,0,0,1,80,2100,8,0,106,280,138,15615.57142857143,0.0,0.0,1858.9583333333333,0,4214.142857142857,1344.4285714285713,480.0,155518.6,1575.6,97208.4,4895.0,20545.53846153846,1497.5,0.0,0.0,0.0,2253.5714285714284,41952.75,2909.8,0.0
เปาโลเมโมเรียล เกษตร : BDMS,0,1,1,162,4000,7,0,263,100,654,2358.48,34005.92307692308,40554.5,1656.9027777777778,0,770.0,1473.128205128205,3961.5384615384614,3890.897435897436,3116.3835616438355,8197.323529411764,31796.5,4336.489795918367,5110.475,0.0,0.0,0.0,4400.029411764706,2009.3333333333333,2806.3088235294117,2824.0
เปาโลเมโมเรียล โชคชัย4 : BDMS,0,1,1,140,2940,8,0,183,100,895,7487.770833333333,1872.125,0.0,1256.2903225806451,0,890.0,1161.7307692307693,4277.0,9534.559139784946,9306.192,14048.555555555555,44789.5,1057.9083969465648,12976.906976744185,0.0,0.0,0.0,5510.075757575758,4202.25,2564.4242424242425,0.0
เปาโลเมโมเรียล พหลโยธิน : BDMS,0,1,1,220,5450,9,0,305,100,702,8721.094285714285,1932.8645454545456,0.0,2397.9912280701756,1500,2418.25,2419.473799999999,1529.1471428571429,7381.543684210527,2183.1526865671644,8650.363157894737,44271.579999999994,4529.659606299212,3464.3020370370364,0.0,0.0,0.0,1963.0913513513515,4805.564,3022.8259183673476,4624.0
เพชรเวช,0,0,1,200,4810,9,0,306,100,503,1129.142857142857,70684.33333333333,13202.333333333334,1008.6909090909091,0,1497.142857142857,1195.578947368421,959.0833333333334,1140.6842105263158,1177.5675675675675,9446.263157894737,33113.5,1235.7435897435898,1793.4864864864865,0.0,0.0,0.0,1031.764705882353,4255.25,8502.684210526315,0.0
เมดพาร์ค,1,0,1,205,11000,9,0,394,430,34,5725.0,65625.0,1994.6666666666667,0.0,0,0.0,3085,0.0,0.0,1797.75,82360.265,2782.0,11087.0,1200.0,0.0,0.0,0.0,30856.5,1550.0,3753.5,0.0
เลิดสิน,0,0,0,609,1600,9,0,185,100,14,0.0,250.0,0.0,470.0,0,19011.0,0,0.0,433.0,0.0,1026.0,0.0,2126.285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
เวชการุณย์รัศมิ์,0,0,0,90,5000,9,0,50,140,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.0,0.0
เวชธานี,0,0,1,263,5850,8,0,722,150,472,10454.869999999999,20452.206,3140.0,4264.314237288137,0,12140.8875,2406.3195833333334,1338.3474999999999,7813.867346938776,6030.676491228072,6612.2995348837185,83349.44,2737.724166666667,4718.488333333333,0.0,0.0,0.0,6273.487777777777,16625.285714285714,1777.341923076923,13141.0
เวชศาสตร์เขตร้อน,0,0,0,106,1700,3,0,41,100,19,0.0,0.0,0.0,700.0,0,0.0,0,0.0,2350.0,834.5,450.0,632.0,1103.75,3818.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0
เสรีรักษ์,0,1,1,238,4050,9,0,231,100,553,8027.542857142857,3753.0,0.0,4385.458333333333,0,4262.9,4491.277777777777,4348.9473684210525,18397.29411764706,4218.756756756757,9507.651162790698,115053.0,2305.1866666666665,8447.8,0.0,0.0,0.0,9547.153846153846,6004.0,4729.082644628099,20151.0
แพทย์ปัญญา,0,0,1,125,2150,9,0,22,100,22,36592.0,23079.0,14020.0,0.0,0,55784.0,0,0.0,1700.0,128764.16666666667,780.0,0.0,733.0,160156.0,0.0,0.0,0.0,780.75,699.0,0.0,0.0
ไทยจักษุ,0,0,1,10,3000,2,0,23,100,8,0.0,0.0,0.0,0.0,0,0.0,20710,0.0,0.0,1310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ไทยนครินทร์,0,0,1,190,6020,9,0,346,125,590,5923.731707317073,4507.0,4863.8,2244.095238095238,0,3685.3333333333335,3769.0666666666666,1503.4375,5231.166666666667,3765.8571428571427,8236.129032258064,68559.5,1741.1348314606741,7735.833333333333,0.0,0.0,0.0,2102.25,2804.0,3732.8285714285716,11911.0
กรุงเทพ : BDMS,1,1,1,263,11300,9,0,1198,300,1280,4701.144423076923,29477.875454545458,2199.6666666666665,4317.136826923078,0,10929.2,6062.797361111112,1696.2816666666665,12169.277413793106,3312.75393939394,7844.923649635035,165319.93000000002,8080.277647058823,8305.016477272728,0.0,0.0,0.0,4053.425396825397,9525.635,60547.78753246754,28821.0
กรุงเทพคริสเตียน,1,0,1,244,4900,6,0,319,400,804,9632.512195121952,85322.0,10560.0,2613.0506329113923,0,2618.181818181818,3334.3898305084745,5731.193548387097,11298.685714285713,3760.6666666666665,5942.75,57243.0,2948.5785123966944,5251.8,0.0,0.0,0.0,2274.9024390243903,5544.8,2327.551724137931,17960.0
กล้วยน้ำไท 1,0,0,1,160,6650,8,0,85,100,106,4078.5454545454545,146623.0,0.0,1218.6666666666667,0,0.0,925.3333333333334,1247.5,10980.333333333334,1095.1875,3404.5,37668.0,1174.0,1101.0,0.0,0.0,0.0,8351.90909090909,8218.5,1566.25,0.0
กล้วยน้ำไท 2,0,0,1,90,7150,1,1,8,150,1,0.0,101732.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
กลาง,0,0,0,475,3000,9,0,116,30,27,1480.5,0.0,0.0,0.0,0,0.0,3971.3633333333332,0.0,2726.8,0.0,51054.5,0.0,3343.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
คามิลเลียน,0,0,1,120,4400,7,0,146,100,135,2825.1428571428573,0.0,500.0,1834.25,0,1673.0,1587.6666666666667,1171.0,1041.25,5220.0,820.3,4282.0,936.1276595744681,654.25,0.0,0.0,0.0,1120.1666666666667,0.0,1850.1818181818182,16300.0
จักษุรัตนิน,0,0,1,12,6050,1,1,40,150,108,0.0,0.0,0.0,0.0,0,1770.0,4965.038834951456,0.0,0.0,0.0,0.0,750.5,0.0,0.0,0.0,0.0,0.0,0.0,1610.0,0.0,700.0
จุฬาภรณ์,0,0,0,115,3500,8,0,445,100,142,23183.5,8324.383802816901,0.0,795.0,0,7786.75,839.6666666666666,0.0,1872.5,1200.0,2128.5714285714284,5442.875,818.1666666666666,3386.4545454545455,0.0,0.0,0.0,1405.9807692307693,0.0,1223.5,0.0
จุฬาลงกรณ์,1,0,0,1485,3500,9,0,435,20,627,8996.8,10038.721804511279,1721.7142857142858,1992.7627118644068,0,2919.0,7975.669047619047,1153.4,3111.9636363636364,10118.90909090909,7231.697916666667,41149.5,8783.0,7110.35593220339,22095.0,0.0,0.0,7882.72,53691.5,7126.0,37460.0
ซีจีเอชพหลโยธิน,1,0,1,120,4430,8,0,384,150,267,2715.470588235294,0.0,0.0,4024.25,0,0.0,2194.25,4451.5,3048.529411764706,2871.1071428571427,4049.8214285714284,30583.5,2716.6341463414633,1911.0,0.0,0.0,0.0,5840.764705882353,15638.0,2414.2162162162163,0.0
ซีจีเอชสายไหม,0,0,1,100,3890,8,0,384,50,244,3661.45,930.0,0.0,1728.4782608695652,0,0.0,1324.25,1372.1,9763.827586206897,1562.875,3950.875,2295.0,1189.0,1632.0,0.0,0.0,0.0,1064.1333333333334,1553.25,4566.923076923077,250.0
ตา หู คอ จมูก,0,1,1,30,3530,2,1,108,228,453,1180.25,0.0,0.0,1159.5,0,0.0,5260.75956284153,1284.4857142857143,0.0,2028.5686274509803,1283.4166666666667,0.0,0.0,0.0,0.0,0.0,0.0,1548.5454545454545,725.0,1298.0,0.0
ตากสิน,0,0,0,418,1800,9,0,197,50,7,5.75,0.0,0.0,9070.0,0,4048.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ตำรวจ,0,0,0,485,1600,8,0,363,50,36,2353.0,1986.3,0.0,1296.5,0,0.0,503,0.0,638.7,0.0,42767.5,5155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30168.375,0.0
ทหารผ่านศึก,0,0,0,277,1500,9,0,101,50,6,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,7625.0,3505.5,359.0,8050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ทหารอากาศ (สีกัน) พอ.,0,0,0,150,2000,5,0,31,50,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.0,0.0,0.0,0.0
ธนบุรี 1,1,0,1,435,5620,9,0,625,120,634,5406.379310344828,13328.6,0.0,3782.0,0,4040.3846153846152,5096.2,918.375,11530.33,3570.5853658536585,7100.036144578313,37284.0,2644.391089108911,7509.947916666667,0.0,0.0,0.0,7600.820285714285,24212.75,27489.55319148936,0.0
ธนบุรี 2,0,0,1,95,5350,9,0,222,140,446,7808.860434782608,300.0,0.0,2424.8214285714284,0,0.0,2713.3076923076924,4757.681818181818,1860.8666666666666,3058.714285714286,11370.216216216217,32097.0,2998.732448979592,13633.9,88525.5,0.0,0.0,2367.3054166666666,4995.666666666667,4105.978494623656,69484.0
ธนบุรี บำรุงเมือง,0,0,1,1400,5620,8,0,86,200,14,4811.0,0.0,0.0,0.0,0,0.0,2710,2516.6666666666665,0.0,1961.6666666666667,1428.0,590.5,1510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27000.0
นครธน,0,0,1,150,4500,8,0,60,150,401,9870.77153846154,0.0,1080.0,1980.5914285714284,0,1691.11,1741.1946153846152,1714.9995000000004,16191.196206896553,3314.273333333333,5029.449111111112,45972.96,2588.5348275862066,13774.297368421052,0.0,0.0,0.0,4211.206842105264,10805.594285714285,10080.325254237288,16200.0
นพรัตนราชธานี,0,0,0,609,1400,9,0,128,150,11,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110.75,301.25,70.0,0.0
นวเวช,0,0,1,99,4000,8,0,240,100,56,13854.5,700.0,0.0,0.0,0,0.0,1410.1325000000002,1405.2633333333333,34982.5,1507.5775,1384.5,6184.5599999999995,1875.5,1779.3333333333333,0.0,0.0,0.0,1654.4925,0.0,2453.5989999999997,1110.0
นวมินทร์,0,0,1,180,3000,9,0,92,100,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
นวมินทร์ 9,0,0,1,245,3280,9,0,179,100,439,5930.952380952381,1650.0,1354.0,1123.408163265306,0,1139.0,1150.2173913043478,1073.0,2069.2916666666665,5964.175,6797.04347826087,8382.5,1375.3275862068965,19257.4375,0.0,0.0,0.0,959.9032258064516,1765.0,2609.2083333333335,38533.0
บางโพ,0,0,1,100,3700,9,0,155,50,279,7346.932222222222,0.0,0.0,3743.828,0,17443.713333333333,10761.66875,5076.896,14585.6,3866.042857142857,21553.647999999997,24793.22,1886.8556666666666,3879.2994736842106,0.0,0.0,0.0,6084.454545454545,8806.0,2499.0259375,11976.0
บางไผ่,0,0,1,100,3530,9,0,8,100,73,845.0,0.0,0.0,2373.6666666666665,0,0.0,0,0.0,5365.78,972.78,1521.012,6470.45,1037.92,65780.0,0.0,0.0,0.0,870.25,0.0,933.7633333333334,6400.0
บางนา 1,0,0,1,101,2700,7,0,84,100,23,500.0,0.0,0.0,0.0,0,0.0,0,1372.3333333333333,0.0,500.0,0.0,2655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1856.0,0.0
บางปะกอก 1,0,0,1,120,3200,7,0,171,100,210,8675.431818181818,0.0,0.0,1398.9537037037037,0,0.0,1110.171875,1177.0833333333333,2900.685185185185,3783.3948484848484,3928.0416666666665,10518.25,1819.5416666666667,1291.6666666666667,0.0,0.0,0.0,22745.85714285714,3461.11,1889.75,0.0
บางปะกอก 8,0,0,1,200,3200,9,0,219,80,52,783.3333333333334,818.0,0.0,857.8,0,0.0,467,521.625,0.0,685.6666666666666,0.0,669.0,1096.0,962.2,0.0,0.0,0.0,0.0,36380.0,2597.5208333333335,0.0
บางปะกอก 9 อินเตอร์เนชั่นแนล,1,0,1,120,3200,7,0,285,120,245,3829.925,0.0,0.0,2398.6052631578946,0,1875.75,1592.3125,1386.53125,1757.5454545454545,4616.5593023255815,8008.93,9704.625,1438.3875,27117.28125,0.0,0.0,0.0,3383.425,3120.0,10956.816666666668,1240.0
บางมด,0,0,1,203,4000,9,0,71,200,27,1566.0,1750.0,0.0,3225.0,0,0.0,2758,1092.0,21526.5,1301.0,5000.0,843.5,1006.8333333333334,1610.0,0.0,0.0,0.0,700.0,0.0,1832.5,0.0
บ้านแพ้ว,0,0,0,54,2300,6,0,47,50,45,0.0,0.0,0.0,1659.5714285714287,0,10754.0,8785.368421052632,0.0,1815.0,3330.0,550.0,0.0,1508.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,0.0
บำรุงราษฎร์,1,1,1,580,11492,9,0,1133,300,527,9601.0,2115.230769230769,0.0,3614.4736842105262,0,2485.375,5322.13,2612.992307692308,26763.90322580645,2113.6965853658535,4269.172083333333,105954.225,4357.7692307692305,7528.617647058823,0.0,0.0,0.0,3013.918367346939,41515.53,2821.8333333333335,46994.0
