ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,ค่าบริการทางการแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 2,กลุ่มที่ 3,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 8,กลุ่มที่ 9,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 12,กลุ่มที่ 13,กลุ่มที่ 14,กลุ่มที่ 15,กลุ่มที่ 16,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 19,กลุ่มที่ 20,กลุ่มที่ 21
บำรุงราษฎร์,Top,BH,Private,580,11492,9,1133,300,0.17510572636872784,0.8248942736312721,10259,47967.5723943662,3399.036410881039,16174.271296296296,1620.2253681710215,8573.275833333333,6110.491905882353,1355.3207443365695,6732.994739229025,705.6288797610157,4140.776014669927,953.9184868421052,1072.633723628692,2696.9086206896554,118301.0,330.0,0.0,2267.3663356164384,14830.922166666667,1015.3704460966544,2698.7083333333335
บีเอ็นเอช : BDMS,None,BDMS,Private,86,8800,9,291,350,0.14528502301428065,0.8547149769857193,4864,11674.850340909094,1617.0382721382284,5006.068852459017,2931.7872656249997,6621.298333333333,2598.405949367089,993.1777777777778,15373.656666666666,3385.97996941896,4997.364341637011,1709.209393939394,7302.953068965518,6771.503488372094,76385.0,2186.28125,0.0,5264.860616438357,2708.289166666667,2115.6557068062825,4262.2395
บีแคร์เมดิคอลเซ็นเตอร์,None,None,Private,136,4330,5,145,80,0.13386751398770463,0.8661324860122953,8155,8937.907981651377,907.6689609104409,7464.185185185185,1159.9275570032573,652.2403225806452,5401.778290598291,757.781052631579,3285.1559547738693,1880.2165874901027,4081.0394555873927,1131.4984702549575,938.8295473251029,2186.0352922077923,0.0,0.0,0.0,1889.6635426008968,629.6086956521739,1595.1364137931034,491.6896551724138
บุญญาเวช,None,None,Private,29,2900,8,8,120,0.04878048780487805,0.9512195121951219,76,0.0,4832.5,0.0,12041.2,0.0,2755.718775510204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ประชาพัฒน์,None,None,Private,100,4490,9,35,100,0.5,0.5,3,0.0,0.0,0.0,0.0,0.0,774.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ประสานมิตร,None,None,Public,0,3000,2,0,50,0.5,0.5,1728,0.0,1122.8617021276596,1941.4285714285713,0.0,0.0,791.3636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ปิยะเวท,None,BHGRT,Private,150,5760,9,243,150,0.11692769791890152,0.8830723020810984,3211,7701.740740740741,882.9391329904481,3072.606545454545,797.3838311688312,12453.75,875.1940000000001,1681.25,961.0745205479452,1221.573266475645,3022.2802173913046,178.25160409556315,1292.072084942085,4265.5726732673265,0.0,0.0,0.0,2051.9796,1431.4,2525.3653846153848,11666.5
พญาไท 1 : BDMS,Top,BDMS,Private,174,4800,9,245,150,0.17203332582751632,0.8279666741724837,21843,4553.736764705883,1656.2511286681715,9145.924460431655,605.9179566563467,4494.1106194690265,444.45957309184996,340.4517625231911,4204.128109452737,615.569900990099,836.1246945898779,251.30155367231637,1072.4321329639888,1205.9519115890084,0.0,0.0,0.0,1292.7610559566788,383.2396694214876,604.1613333333333,30.0
พญาไท 2 : BDMS,Top,BDMS,Private,260,6687,9,535,180,0.14672756402592124,0.8532724359740788,32160,8761.468567708334,1248.2829186869087,5162.975688073395,1062.2260015117158,4219.70652173913,1140.6641006661732,919.1506329113924,3782.559241706161,1117.610588235294,3155.226858108108,981.5999420476497,1234.5578759482376,2524.308528645833,119835.77777777778,1528.4871794871794,325.0,3018.768181818182,1619.3916666666667,833.3342887175894,1625.3435960591132
พญาไท 3 : BDMS,None,BDMS,Private,230,6200,9,412,150,0.22906982316576413,0.7709301768342359,16484,14013.628884462152,1399.136161449753,2703.2457627118642,982.75,7840.886363636364,1999.6786885245901,1108.231301939058,4586.331210191082,1615.5309930423782,3253.521137026239,844.5065288356909,3501.6851098454026,3063.065275908479,0.0,0.0,0.0,2080.3374301675976,2201.651515151515,1334.0065975494815,2835.310344827586
พญาไท นวมินทร์ : BDMS,None,BDMS,Private,140,4100,9,57,80,0.12154989384288747,0.8784501061571125,7565,9946.152542372882,707.2818725695482,2009.3906666666664,1374.9781659388645,906.5777777777778,1219.9630350194552,1797.0912162162163,1237.9408450704225,1799.683412322275,3618.6167512690354,907.7781818181818,1228.1237785016287,1611.707627118644,0.0,0.0,0.0,2603.85223880597,1884.642857142857,1823.0865724381626,42.875
พระมงกุฎเกล้า,Top,None,Public,953,2000,9,249,50,0.33135681897453784,0.6686431810254622,1712,21575.1,2526.780729517396,1175.8255813953488,1728.5314685314686,6530.423076923077,2396.644578313253,483.13793103448273,7005.697857142857,2459.2074725274724,5155.281531531532,1401.4166666666667,3942.7635746606334,2608.2447058823527,0.0,0.0,0.0,2160.714285714286,168202.75,3114.7272727272725,4625.0
พระราม 2,None,None,Private,109,4000,7,15,135,0.25316455696202533,0.7468354430379747,11226,2.3589041095890413,386.46,0.0,0.0,0.0,27.21595598349381,0.0,2.7399650959860384,1.152442448062886,2.229090909090909,74.71073298429319,0.9384339509862523,0.0,0.0,0.0,0.0,3.195266272189349,0.0,9.760838150289016,0.0
พระรามเก้า,Top,None,Private,166,7950,9,340,250,0.1049144634525661,0.895085536547434,17920,13579.007067137809,1158.6991229044077,3246.3571428571427,2089.8803945745994,2881.0416666666665,1656.5355769230769,1906.872807017544,3025.510101010101,2046.5080422794117,3747.6213991769546,1148.4669421487604,2312.2327586206898,3476.311267605634,0.0,0.0,0.0,3387.7933227344993,2321.026785714286,1476.3785192909281,2547.0
ภูมิพลอดุลยเดช กรมแพทย์ทหารอากาศ,None,None,Private,619,2000,9,221,50,0.23052959501557632,0.7694704049844237,371,2175.1875,1207.595029239766,4203.65,1918.2857142857142,907.4861111111111,5709.321428571428,1491.0,10512.633333333333,733.7857142857143,1298.8382352941176,971.8333333333334,813.1071428571429,942.8571428571429,0.0,0.0,0.0,1870.4,0.0,2011.5444444444445,755.0
มเหสักข์,None,None,Private,132,3580,9,44,100,0.6,0.4,7211,22.40714285714286,1346.320512820513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.8301075268817,0.0,3.207505518763797,0.0,0.0,0.0,0.0,1.5918367346938775,0.0,0.0,0.0
มงกุฎวัฒนะ,None,None,Private,100,4000,8,411,75,0.12968400099527247,0.8703159990047276,11173,7827.4802272727275,684.3749784327821,1656.3218032786885,1271.7876307692306,3785.501333333333,1006.802271468144,936.9283478260869,2396.1523454157787,1517.4137798696597,2627.577714285714,1070.1192048929663,827.787331118494,4544.271953488372,0.0,0.0,0.0,2575.7117659137575,1221.4374468085107,1122.1872578890097,281.0
มิชชั่น,None,None,Private,120,4000,6,107,150,0.264993481095176,0.7350065189048239,1814,3130.125,2690.12879708384,375.0,834.8841463414634,800.0,3726.809523809524,1001.75,13007.21052631579,5512.344,5591.117647058823,1478.063829787234,3755.060869565217,6123.483333333334,0.0,0.0,0.0,1889.142857142857,3843.4736842105262,2467.0405405405404,1043.1666666666667
มิตรประชา,None,None,Private,148,1800,9,55,120,0.13871635610766045,0.8612836438923396,6680,140.32575757575756,233.29526462395543,0.0,24.0,22.093023255813954,34.46153846153846,0.0,10.349514563106796,72.32218992248062,4.44300518134715,11.687645687645688,2.393939393939394,2.5722543352601157,0.0,0.0,0.0,12.149837133550488,0.0,49.44533869885983,166.66666666666666
รัชดา-ท่าพระ,None,None,Public,25,4000,8,10,100,0.14457831325301204,0.8554216867469879,108,928.0,286.05555555555554,0.0,0.0,0.0,162.5,0.0,1300.0,0.0,1804.5,238.42857142857142,513.5714285714286,1350.0,0.0,0.0,0.0,280.0,184.0,0.0,0.0
ราชพิพัฒน์,None,None,Public,277,5000,8,200,100,0.04,0.96,335,0.0,34.66438356164384,0.0,16.071428571428573,0.0,0.0,0.0,69.53571428571429,0.0,24.512048192771083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.65384615384616,0.0
ราชวิถี,Top,None,Private,1031,4300,9,347,100,0.4793491864831039,0.5206508135168961,14109,148.29931972789115,3484.1867088607596,49.21739130434783,84.48958333333333,139.05882352941177,336.5249457700651,2.73109243697479,136.92138364779873,10.724520866917429,185.46802773497689,0.6828528072837633,84.1275,62.667229729729726,0.0,0.0,0.0,70.53324287652646,420.51807228915663,0.7730426164519326,0.0
รามคำแหง,Top,RAM,Public,486,3500,9,327,80,0.16053178230162027,0.8394682176983798,28266,12663.636795580112,743.5601192959042,790.9689024390243,577.5562813738441,1233.5950140056023,782.1435084427767,1456.7789638157897,2097.418333333333,1890.3118511603097,2685.4654296875,1168.841163141994,1259.7480663556244,795.8574920432847,165707.0,1734.6190476190477,0.0,1415.5676009892825,1036.3905263157894,1899.1528810975606,607.6902953586498
รามาธิบดี,Top,None,Private,1378,1000,9,1041,100,0.3632397438603898,0.6367602561396102,18847,20329.944444444445,4552.393673791724,3605.470900900901,2109.825260067114,4745.261029411765,3346.7860456273766,1119.5895061728395,13052.7488590604,2882.313195991091,5711.843376068376,1411.461415525114,5188.03002617801,3348.129151004536,3843.708695652174,337.5,0.0,2564.66500967118,7260.273809523809,3515.4244186046512,1251.220430107527
ราษฎร์บูรณะ,None,None,Public,124,3950,9,46,200,0.2292358803986711,0.770764119601329,1356,13203.5,1131.1105919003114,575.0,1424.046511627907,933.0,8042.888888888889,2826.769230769231,2204.0153846153844,2749.0,7147.448275862069,2781.8947368421054,526.7619047619048,6887.684210526316,0.0,0.0,0.0,14527.285714285714,0.0,1505.8706896551723,0.0
ลาดพร้าว,None,None,Private,180,4700,8,206,200,0.0,1.0,9934,0.0,2.6736842105263157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7544554455445545,0.0,1.8066914498141264,0.0
วชิรพยาบาล,Top,None,Public,740,2400,9,341,50,0.14498595334066203,0.855014046659338,19968,11219.627677902621,878.6774244332494,1825.7759090909092,1755.1070463576157,3792.8225560538117,1461.3320518358528,974.1407600950118,1989.0669126819125,1734.1549857084522,4666.376656050956,914.0728348909656,1313.0365702718336,3304.812588904694,8968.029411764706,1598.0,0.0,1734.6043572778824,1579.980724637681,2037.6132098765434,2341.0442857142857
วิชัยเวช แยกไฟฉาย,None,Vichaivej,Private,49,3250,9,7,110,0.242914979757085,0.757085020242915,1559,254.6,850.2,0.0,21.463414634146343,53.0,7025.158695652175,234.16666666666666,0.0,99.06753246753247,157.93478260869566,142.2,105.30534351145039,479.0576923076923,0.0,0.0,0.0,39.51145038167939,177.5,735.682326621924,0.0
วิชัยเวชอินเตอร์เนชั่นแนลหนองแขม(ศรีวิชัย2),None,Vichaivej,Private,172,4200,8,137,80,0.2550670408481447,0.7449329591518553,6654,2841.622807017544,923.4926542605289,137.77777777777777,185.22260273972603,195.1764705882353,22.33273056057866,558.9206349206349,782.0941558441558,459.2554599602912,524.7958515283843,59.665217391304346,80.83260869565217,83.95227272727273,0.0,0.0,0.0,758.0685714285714,188.91304347826087,984.9396551724138,26.6
วิชัยยุทธ,None,None,Private,207,5500,9,716,250,0.21335126543587235,0.7866487345641276,16919,8259.40705882353,1666.9105222981116,4016.737337278106,1174.400481540931,4924.022826086957,1316.742098092643,717.6141597796143,3747.848915857605,811.6321596109839,3516.0888953866142,670.3447736220472,924.9093445287107,1972.0571953578337,121460.85,0.0,0.0,2015.3337591240877,1877.5201834862387,956.8111879259982,2706.3738095238095
วิภาราม,None,VIBHA,Private,150,2200,9,272,100,0.1461569273220882,0.8538430726779118,26426,3547.8676056338027,948.5460410557184,6252.393162393162,1021.5101050929669,359.24598930481284,376.048353909465,370.1316725978648,1638.4481981981983,510.1150917003419,1042.1475667189952,395.4461335095836,643.36568457539,1108.9362706530292,0.0,0.0,0.0,469.55591467356174,460.91954022988506,918.03145087236,23.60287081339713
วิภาวดี,None,None,Private,258,4360,8,417,80,0.19014567266495286,0.8098543273350471,30545,16276.804979253113,1098.8772736358185,2298.3977272727275,1428.0364415862807,2879.3670212765956,1119.1977886977886,1682.4169435215947,2102.9409369951536,2277.584295032614,4604.084239130435,930.148194271482,1435.2940243257535,2226.0016542597186,5021.384615384615,1088.9166666666667,7618.0,3422.73232799246,1599.1066666666666,3002.7702702702704,1351.4719471947194
วิมุต,None,None,Private,236,5900,7,232,150,0.041353383458646614,0.9586466165413534,10183,315.041608040201,0.0,0.0,0.0,6.901408450704225,648.2621416234888,17.07547169811321,7.584229390681004,4.6800288646568315,127.60757575757576,5.9353891336270195,71.06137168141593,17.870623145400593,0.0,0.0,0.0,10.263246425567704,0.0,28.450633187772926,66.64
ศิครินทร์,None,None,Private,258,5100,9,348,120,0.16857134196247234,0.8314286580375276,19981,13695.993507462686,1064.2084354081328,2302.4508196721313,1531.6034569536423,2332.4403100775194,1520.9983861671471,1900.8055,2840.3334173055855,2002.6151668422908,4837.714483221475,1363.9494611727412,1194.7834524495677,2738.8363694267514,10473.583333333334,0.0,445.75,2601.1183290707595,4108.519864864865,2720.213817073171,3394.423188405797
ศิริราช ปิยมหาราชการุณย์,Top,None,Private,350,6700,9,615,180,0.4822285322628023,0.5177714677371977,34438,13474.60404255319,4958.908012351181,15964.402854006586,2013.2521137586473,11784.28581081081,2724.7386196769457,3156.4607843137255,7169.659963436929,4075.332336821126,7469.7879101899825,1490.407894736842,8054.189126622239,4908.396928327646,0.0,0.0,927.8695652173913,4614.557966549295,10662.194174757282,2709.8898624554254,3602.3571428571427
ศิริราชพยาบาล,None,None,Public,2112,1000,9,2263,130,0.5189222669557139,0.48107773304428614,8784,15516.685185185184,3643.900879145337,2296.0141414141412,2789.85822147651,12816.521739130434,10403.847222222223,752.7142857142857,8887.540287769783,3852.0308641975307,5818.047018348624,37223.566993464054,6538.657180385289,7893.706035398231,50576.75,0.0,99846.5,4909.736111111111,3639.49609375,2275.8503086419755,2650.3303571428573
สงฆ์,None,None,Public,297,0,6,35,0,1.0,0.0,233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
สมเด็จพระปิ่นเกล้า กรมแพทย์ทหารเรือ กองทัพเรือ,None,None,Public,414,2200,0,173,150,0.9999417526482522,5.824735174774819e-05,191,9700.0,0.0,0.0,3971.25,0.0,23429.777777777777,0.0,375.9142857142857,229.01470588235293,1487.4,0.0,5328.1875,1133.0,0.0,0.0,0.0,177.1851851851852,14607.692307692309,14.596774193548388,0.0
สมิติเวชไชน่าทาวน์ : BDMS,None,BDMS,Private,31,6190,6,85,300,0.19104991394148021,0.8089500860585198,2526,779.263962264151,2386.3140571428576,375.0,119.44444444444444,0.0,802.2526744186048,489.1072340425532,880.1823333333334,64.2699894625922,263.54984126984124,79.13334572490706,873.8574390243903,1118.2841142857142,0.0,0.0,0.0,450.97480769230765,1526.2014285714286,215.28410169491525,94.61363636363636
สมิติเวชธนบุรี : BDMS,None,BDMS,Private,150,6190,8,256,300,0.09476346325498364,0.9052365367450164,8745,7826.29,836.9643098889476,533.1632352941176,302.71511737089196,265.9925925925926,319.70480417754567,233.68571428571428,233.826144200627,528.4394460520878,883.4362833099578,490.19839874411304,640.0518232819074,1116.7452590673577,13211.25,0.0,0.0,646.6615406162465,804.756641221374,711.1454239569313,52.857142857142854
สมิติเวชศรีนครินทร์ : BDMS,Top,BDMS,Private,154,7255,9,8,200,0.14540082419718528,0.8545991758028147,10669,14553.897412935328,1270.728063660478,2376.852647058823,863.6477158774371,1256.741568627451,945.2882038834952,1646.1712574850299,3524.1616614420063,1611.37092369478,3897.2388086185033,1030.4965070921987,2009.5970282485878,2709.8848858447486,21593.7,5884.879473684211,1911.2,1455.554043010753,1100.7328282828282,4794.101962025316,5065.385945945946
สมิติเวชสุขุมวิท : BDMS,Top,BDMS,Private,275,9000,7,571,300,0.16159543142678684,0.8384045685732132,6700,32066.294782608697,2816.059474999999,3104.675535714285,5124.369696969697,8399.688333333334,1588.2032386363637,2663.1732911392405,9931.492967479677,3286.8574036511145,5962.579906103286,1672.157323943662,1584.2415634674921,9422.187731481483,349634.43,11250.0,23236.3825,3201.755516129032,1313.767142857143,13775.844346289756,2245.4966666666664
สวนเบญจกิตติ เฉลิมพระเกียรติ 84 พรรษา,None,None,Public,60,1400,7,45,30,0.04,0.96,254,6860.0,308.5625,0.0,10561.538461538461,350.0,7196.451142857143,0.0,980.5625,404.4074074074074,18057.14285714286,685.7794117647059,1172.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
สหวิทยาการมะลิ,None,None,Private,19,4800,6,10,150,0.041666666666666664,0.9583333333333334,152,0.0,526.2786885245902,0.0,0.0,0.0,1433.5,0.0,799.1666666666666,628.6,0.0,534.0185185185185,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1135.8333333333333,0.0
สายหยุด,None,None,Private,6,0,4,4,200,0.0,1.0,6177,7.336,38.983050847457626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.711538461538462,5.637254901960785,0.0,2.0805369127516777,0.0,0.0,0.0,10.065727699530516,0.0,0.0,0.0
สินแพทย์  ศรีนครินทร์,None,VIBHA,Private,110,2800,9,21,100,0.21560562342685247,0.7843943765731475,20345,8922.073129496403,841.5878393051031,403.3728813559322,546.128818061089,1867.8117647058823,963.5979452054795,601.5160367454068,1049.3951025056947,776.2484250830804,1048.8816844919786,526.2743961352656,388.85,645.0817051509769,0.0,0.0,321.1818181818182,1249.6470588235295,786.2121212121212,850.5797120575886,254.80645161290323
สินแพทย์ เสรีรักษ์,None,VIBHA,Private,238,4050,9,231,100,0.20740499102919588,0.7925950089708041,17945,21369.18361581921,882.9996960179471,2411.626865671642,982.1788359788359,1976.7965384615386,925.3735849056604,2325.8505376344087,3629.252979066023,2457.556980149691,4995.610892351275,1107.9243421052631,1958.3073606729758,4340.896037296037,0.0,1841.2307692307693,0.0,1675.8546448087432,3256.681818181818,1239.8372675828616,423.7719298245614
สินแพทย์ รามอินทรา,None,VIBHA,Private,287,3100,9,258,150,0.2427843803056027,0.7572156196943973,1044,19650.041666666668,887.0350877192982,428.8,903.3333333333334,1774.5714285714287,1132.093023255814,292.14285714285717,456.1111111111111,793.5324675324675,1635.24,927.1590909090909,1147.880733944954,668.9285714285714,0.0,0.0,0.0,1205.0277777777778,600.0,754.3444444444444,318.8
สิรินธร,None,None,Private,305,2000,0,144,150,0.788235294117647,0.21176470588235294,136,0.0,4941.272727272727,0.0,0.0,0.0,2980.0,0.0,0.0,6507.05,2308.0,0.0,5873.87962962963,0.0,0.0,0.0,0.0,975.65,0.0,4910.5,0.0
สิรินาถบึงกุ่ม (วิภาราม นวมินทร์),None,VIBHA,Private,52,3440,4,5,510,0.07263922518159806,0.927360774818402,354,10131.142857142857,359.0,3922.0,2749.8214285714284,4626.416666666667,0.0,5231.666666666667,4627.107142857143,1617.3610714285714,8036.852459016393,1459.6315789473683,4404.843137254902,7319.2307692307695,0.0,0.0,0.0,3113.7741935483873,1530.5,5630.086956521739,3426.0
สุขสวัสดิ์,None,None,Private,100,4200,8,49,50,0.3804347826086957,0.6195652173913043,4200,0.0,639.1784615384615,0.0,0.0,0.0,185.119140625,0.0,0.0,0.700734394124847,113.8187037037037,0.0,22.24764150943396,0.0,0.0,0.0,0.0,66.34146341463415,0.0,44.343372093023255,0.0
สุขุมวิท,None,RAM,Private,135,2760,8,46,170,0.1477674269193704,0.8522325730806296,12778,4337.343891402715,1174.8195368645195,2617.2542372881358,152.57014925373133,281.2391304347826,1644.6656217345871,600.7560975609756,1922.2614666666668,885.0399659863946,1073.195688225539,629.8342728297632,1189.9606299212599,1032.4374034003092,0.0,223.0,0.0,816.7311072056239,1242.7931034482758,728.6696832579186,641.1777777777778
หัวเฉียว,None,None,Private,338,3300,6,391,50,0.08560084700899948,0.9143991529910005,11206,3771.0370967741937,725.6012365306483,9726.523723404254,1490.535578465063,1175.4528985507247,2040.9963235294117,589.8360927152318,1464.8744113029827,944.2637153772683,2290.24347826087,1295.2146706586825,1192.8722136817833,2127.507575757576,27171.416666666668,0.0,0.0,1038.2472727272727,1856.6379310344828,2017.1668136272544,1299.4137931034484
อินทรารัตน์,None,None,Private,152,3800,8,21,150,0.04065040650406504,0.959349593495935,81,0.0,0.0,0.0,0.0,0.0,5358.234848484848,0.0,0.0,1100.0,0.0,1455.5,35.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,1580.25,0.0
